Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Landing Count,Total Landed Weight
SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ2,30,1410000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,125,17787978
Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000
"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Passenger,Narrow Body,Boeing,B739,3,491700
Hong Kong Airlines Limited,HX,Hong Kong Airlines Limited,HX,International,Asia,Passenger,Wide Body,Airbus,A359,16,7301712
Finnair,AY,Finnair,AY,International,Europe,Passenger,Wide Body,Airbus,A333,9,3710376
WOW Air,WW,WOW Air,WW,International,Europe,Passenger,Wide Body,Airbus,A333,30,12235650
United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B738,60,8778000
Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B738,283,40901600
Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,B773,29,16066000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B763,27,8640000
United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B788,29,11020000
Compass Airlines,CP,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,E175,138,10374564
United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B773,118,65372000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B739,282,44358600
Emirates,EK,Emirates,EK,International,Asia,Passenger,Wide Body,Airbus,A388,30,25860210
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B752,7,1386000
Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Airbus,A388,30,25529520
Volaris Airlines,Y4,Volaris Airlines,Y4,International,Mexico,Passenger,Narrow Body,Airbus,A320,17,2479759
Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B748,15,10230000
Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,B789,53,22525000
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,55,8164180
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Airbus,A332,12,4761600
Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B737,9,1162800
"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,21,5712000
Finnair,AY,Finnair,AY,International,Europe,Passenger,Wide Body,Airbus,A359,1,456357
Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B773,13,7202000
China Southern,CZ,China Southern,CZ,International,Asia,Passenger,Wide Body,Boeing,B789,13,5525000
United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B773,59,32686000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,1347,189151028
United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,77,10949246
Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Passenger,Wide Body,Airbus,A332,9,3584715
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A321,5,857600
Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B772,3,1380312
Jazz Aviation,QK,Air Canada,AC,International,Canada,Passenger,Regional Jet,Bombardier,CRJ9,117,8786700
SkyWest Airlines,OO,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E175,65,4872205
"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,5,3260000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,20,3430400
Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A346,7,3996979
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B753,359,80416000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B773,4,2216000
Swissport USA,UA,Swissport USA,UA,International,Asia,Freighter,Wide Body,Boeing,A124,1,727500
Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A333,1,412264
China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Airbus,A332,13,5158816
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B752,517,102366000
Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B773,25,13850000
Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,B744,26,16506000
Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B737,1,128000
SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ7,208,13936000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B777,1,460000
TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,49,7216181
United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B772,1,470000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B738,178,25632000
EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,B773,86,47644000
SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Embraer,E175,12,899484
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B789,15,6375000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B772,227,101255000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B764,3,1050000
Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Passenger,Wide Body,Boeing,B773,30,16620000
Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B737,1085,138880000
Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B738,30,4369500
Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A388,30,25899894
Air India Limited,AI,Air India Limited,AI,International,Asia,Passenger,Wide Body,Boeing,B772,32,15744000
China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,B744,24,15984000
Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A346,30,17129910
Icelandair EHF,FI,Icelandair EHF,FI,International,Europe,Passenger,Wide Body,Boeing,B763,17,5440000
Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B772,5,2350000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B753,125,28000000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B752,247,48906000
Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Airbus,A359,27,12321639
Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A333,22,8972810
TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,1,137789
United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,63,9216900
Iberia,IB,Iberia,IB,Domestic,Europe,Passenger,Wide Body,Airbus,A332,12,4761984
United Airlines,UA,United Airlines,UA,International,Middle East,Passenger,Wide Body,Boeing,B773,24,13296000
Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B748,25,19075000
China Eastern,MU,China Eastern,MU,Domestic,US,Passenger,Wide Body,Boeing,B773,1,554000
Thomas Cook Airlines,MT,Thomas Cook Airlines,MT,International,Europe,Passenger,Wide Body,Airbus,A332,12,4748757
Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A332,12,4814892
United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,5,710990
United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,21,2893569
Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Airbus,A332,59,23673219
Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,B789,17,7225000
Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000
United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B772,75,34500000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B789,9,3825000
Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B738,85,12281400
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A320,5,710990
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B738,171,24624000
Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,5,42500
SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Embraer,E170,601,45049157
Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A332,8,3183474
United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B789,147,62475000
SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Embraer,E175,379,28408703
French Bee,BF,French Bee,BF,International,Australia / Oceania,Passenger,Wide Body,Airbus,A359,13,5932641
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B712,325,35750000
Alaska Airlines,AS,Alaska Airlines,AS,International,US,Passenger,Narrow Body,Airbus,A321,232,40508592
JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A321,372,63805440
XL Airways France,SE,XL Airways France,SE,International,Europe,Passenger,Wide Body,Airbus,A332,4,1591737
United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,B789,29,12325000
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B744,29,18270000
Air India Limited,AI,Air India Limited,AI,International,Asia,Passenger,Wide Body,Boeing,B773,7,3878000
Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Airbus,A319,5,688940
Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,B748,30,20640000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B764,23,8050000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A321,819,140458500
Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,B763,1,320000
JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A320,71,10129128
SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ2,1233,57951000
Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Airbus,A359,30,13690710
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B789,43,18275000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B788,24,9120000
SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Embraer,E170,18,1349226
United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B788,30,11400000
Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E170,53,3978025
China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000
All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Airbus,A319,341,46985708
French Bee,BF,French Bee,BF,International,Europe,Passenger,Wide Body,Airbus,A359,11,5019927
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,4,537928
British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Airbus,A388,30,25860210
Compass Airlines,CP,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,E170,212,15937736
SAS Airlines,SK,SAS Airlines,SK,International,Europe,Passenger,Wide Body,Airbus,A343,30,12698612
United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B789,45,19125000
WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B737,73,9431600
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B789,17,7225000
Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Airbus,A359,30,13558440
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B739,1304,205286400
Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Freighter,Wide Body,Boeing,B772,1,575000
Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B772,6,2760624
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B773,10,5540000
Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,B744,22,14340000
British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,B744,30,18900000
Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,B773,57,31578000
Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Airbus,A320,54,7718376
Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Boeing,B773,30,16620000
Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Boeing,B763,40,13040000
Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,B744,5,3260000
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B773,1,554000
"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,19,6080000
United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B739,24,3775200
SkyWest Airlines,OO,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E170,97,7270829
WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B738,16,2347300
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,34,4572388
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A321,3,514560
China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000
"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Passenger,Narrow Body,Boeing,B738,60,8778000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A320,1,142198
United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B739,17,2674100
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Boeing,B738,120,18336000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,1428,208916400
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B772,13,6396000
China Southern,CZ,China Southern,CZ,International,Asia,Passenger,Wide Body,Boeing,B773,18,9972000
Finnair,AY,Finnair,AY,International,Asia,Passenger,Wide Body,Airbus,A333,2,824528
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B788,19,7220000
ABC Aerolineas S.A. de C.V. dba Interjet,4O,ABC Aerolineas S.A. de C.V. dba Interjet,4O,International,Mexico,Passenger,Narrow Body,Airbus,A320,26,3710376
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Airbus,A320,1140,162783655
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B739,119,18564700
Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B773,45,24930000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,46,6729800
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B738,230,33649000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B763,40,12400000
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,26,3700455
Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E175,35,2626589
United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,5,688945
EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,B773,93,51522000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A319,1,137700
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,23,3093086
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,1660,233566413
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,1445,211403500
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,26,3716990
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B764,29,10150000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,12,1613784
Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
SkyWest Airlines,OO,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E170,117,8769969
Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,B744,25,15869000
United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,B789,31,13175000
Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A333,24,9788520
Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,23,195500
WOW Air,WW,WOW Air,WW,International,Europe,Passenger,Wide Body,Airbus,A333,31,12643505
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B789,3,1275000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B752,2,396000
Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Airbus,A319,4,551152
SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ7,238,15946000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B772,18,8856000
Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Airbus,A320,81,11584178
United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B772,62,28520000
SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Embraer,E170,30,2248710
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B712,239,26290000
Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,B789,31,13175000
Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B738,94,13556700
United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B788,41,15580000
United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B772,1,470000
Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,B773,62,34348000
Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E170,90,6752760
SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ2,31,1457000
"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,5,3274000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B763,1,320000
"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,23,7378000
Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A388,31,26775129
French Bee,BF,French Bee,BF,International,Australia / Oceania,Passenger,Wide Body,Airbus,A359,12,5476284
Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,B748,31,21328000
Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B737,18,2325600
British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Airbus,A388,30,25860210
United Airlines,UA,United Airlines,UA,International,Middle East,Passenger,Wide Body,Boeing,B773,31,17174000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,13,2229760
Icelandair EHF,FI,Icelandair EHF,FI,International,Europe,Passenger,Wide Body,Boeing,B763,18,5760000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B777,1,460000
Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Airbus,A332,58,23271978
All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,B744,27,17982000
Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A332,7,2795460
Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Airbus,A359,31,14147067
Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Airbus,A359,31,14147067
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B753,448,100352000
United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B739,45,7068500
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B763,33,10560000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B773,3,1662000
United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,54,7900200
Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Boeing,B773,31,17174000
United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,9,1240101
Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B773,30,16620000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B788,23,8740000
Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B748,1,682000
China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B772,3,1380312
Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B738,55,7917200
Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Airbus,A333,1,412260
SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ2,929,43663000
Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Airbus,A388,30,25529520
TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,52,7661957
Iberia,IB,Iberia,IB,Domestic,Europe,Passenger,Wide Body,Airbus,A332,14,5555648
Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A332,13,5216133
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B752,334,66132000
Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,B744,1,652000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B789,43,18275000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B789,21,8925000
Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B738,288,41669200
Thomas Cook Airlines,MT,Thomas Cook Airlines,MT,International,Europe,Passenger,Wide Body,Airbus,A332,13,5222749
Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A346,31,17700907
China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Airbus,A332,13,5158816
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B739,1566,246353800
China Southern,CZ,China Southern,CZ,International,Asia,Passenger,Wide Body,Boeing,B789,13,5525000
China Southern,CZ,China Southern,CZ,International,Asia,Passenger,Wide Body,Boeing,B773,27,14958000
"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Passenger,Narrow Body,Boeing,B738,76,11118800
SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Embraer,E175,1,74957
XL Airways France,SE,XL Airways France,SE,International,Europe,Passenger,Wide Body,Airbus,A332,13,5198497
Hong Kong Airlines Limited,HX,Hong Kong Airlines Limited,HX,International,Asia,Passenger,Wide Body,Airbus,A359,18,8214426
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B752,585,115830000
Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Airbus,A359,31,14010388
Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B748,30,20460000
WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B737,74,9560800
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Airbus,A332,4,1604964
United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,68,9669464
SAS Airlines,SK,SAS Airlines,SK,International,Europe,Passenger,Wide Body,Airbus,A343,31,13121897
United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B789,60,25500000
